# timestamp	V	A	W	V	A
1618992414.93468	1344.803	0.145	82.682	317.824	0.120
1618992414.93651	230.512	0.025	2.427	317.743	0.111
1618992414.93838	230.494	0.025	2.442	317.663	0.108
1618992414.97886	230.502	0.025	2.382	317.663	0.106
1618992414.98645	230.485	0.025	2.415	317.743	0.107
1618992414.99785	230.499	0.025	2.415	317.743	0.109
1618992415.03587	230.504	0.025	2.430	317.663	0.107
1618992415.03749	230.505	0.025	2.433	317.663	0.106
1618992415.07587	230.486	0.025	2.417	317.663	0.108
1618992415.12787	230.465	0.025	2.405	317.582	0.107
1618992415.12950	230.450	0.025	2.425	317.663	0.109
1618992415.16953	230.486	0.025	2.448	317.743	0.109
1618992415.19185	230.517	0.025	2.457	317.743	0.109
1618992415.22987	230.491	0.024	2.394	317.743	0.108
1618992415.23050	230.477	0.025	2.406	317.743	0.110
1618992415.27288	230.447	0.025	2.409	317.663	0.107
1618992415.27454	230.407	0.025	2.442	317.663	0.108
1618992415.28642	230.387	0.025	2.425	317.582	0.108
1618992415.29542	230.406	0.025	2.449	317.582	0.111
1618992415.33289	230.420	0.025	2.416	317.582	0.107
1618992415.34665	230.423	0.025	2.428	317.743	0.109
1618992415.35650	230.399	0.025	2.395	317.582	0.110
1618992415.39788	230.343	0.024	2.363	317.582	0.108
1618992415.40753	230.348	0.025	2.434	317.582	0.108
1618992415.41749	230.344	0.025	2.444	317.663	0.106
1618992415.46561	230.329	0.025	2.447	317.421	0.108
1618992415.50458	230.378	0.025	2.427	317.502	0.109
1618992415.50648	230.430	0.025	2.417	317.663	0.106
1618992415.54469	230.373	0.024	2.390	317.582	0.108
1618992415.54553	230.383	0.025	2.446	317.663	0.106
1618992415.55692	230.397	0.025	2.403	317.582	0.108
1618992415.59489	230.418	0.025	2.430	317.743	0.108
1618992415.60689	230.401	0.025	2.404	317.663	0.110
1618992415.61689	230.424	0.025	2.421	317.743	0.108
1618992415.65494	230.408	0.025	2.404	317.824	0.106
1618992415.67767	230.364	0.025	2.427	317.663	0.110
1618992415.71591	230.361	0.025	2.450	317.582	0.111
1618992415.75590	230.412	0.025	2.425	317.743	0.108
1618992415.75654	230.435	0.025	2.494	317.663	0.108
1618992415.77490	230.377	0.025	2.411	317.743	0.107
1618992415.78257	230.380	0.025	2.463	317.663	0.110
1618992415.82097	230.379	0.025	2.381	317.663	0.111
1618992415.86191	230.235	0.025	2.396	317.421	0.109
1618992415.86257	230.268	0.025	2.438	317.502	0.109
1618992415.90167	230.284	0.025	2.411	317.502	0.109
