Ping: 00:06:66:4D:F4:AE from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F4:AE id 0 time 24.93ms
4 bytes from 00:06:66:4D:F4:AE id 1 time 28.87ms
4 bytes from 00:06:66:4D:F4:AE id 2 time 29.87ms
4 bytes from 00:06:66:4D:F4:AE id 3 time 32.89ms
4 bytes from 00:06:66:4D:F4:AE id 4 time 26.88ms
4 bytes from 00:06:66:4D:F4:AE id 5 time 27.88ms
4 bytes from 00:06:66:4D:F4:AE id 6 time 30.87ms
4 bytes from 00:06:66:4D:F4:AE id 7 time 27.87ms
4 bytes from 00:06:66:4D:F4:AE id 8 time 7.88ms
4 bytes from 00:06:66:4D:F4:AE id 9 time 26.88ms
4 bytes from 00:06:66:4D:F4:AE id 10 time 29.87ms
4 bytes from 00:06:66:4D:F4:AE id 11 time 32.88ms
4 bytes from 00:06:66:4D:F4:AE id 12 time 28.88ms
4 bytes from 00:06:66:4D:F4:AE id 13 time 34.88ms
4 bytes from 00:06:66:4D:F4:AE id 14 time 28.86ms
4 bytes from 00:06:66:4D:F4:AE id 15 time 26.90ms
4 bytes from 00:06:66:4D:F4:AE id 16 time 17.87ms
4 bytes from 00:06:66:4D:F4:AE id 17 time 34.88ms
4 bytes from 00:06:66:4D:F4:AE id 18 time 12.89ms
4 bytes from 00:06:66:4D:F4:AE id 19 time 17.88ms
4 bytes from 00:06:66:4D:F4:AE id 20 time 46.88ms
4 bytes from 00:06:66:4D:F4:AE id 21 time 16.87ms
4 bytes from 00:06:66:4D:F4:AE id 22 time 10.88ms
4 bytes from 00:06:66:4D:F4:AE id 23 time 24.89ms
4 bytes from 00:06:66:4D:F4:AE id 24 time 29.89ms
4 bytes from 00:06:66:4D:F4:AE id 25 time 43.88ms
4 bytes from 00:06:66:4D:F4:AE id 26 time 15.88ms
4 bytes from 00:06:66:4D:F4:AE id 27 time 55.87ms
4 bytes from 00:06:66:4D:F4:AE id 28 time 7.88ms
4 bytes from 00:06:66:4D:F4:AE id 29 time 26.88ms
4 bytes from 00:06:66:4D:F4:AE id 30 time 11.88ms
4 bytes from 00:06:66:4D:F4:AE id 31 time 24.88ms
32 sent, 32 received, 0% loss
