Ping: 00:06:66:4D:F0:2F from 00:15:83:0C:BF:EB (data size 44) ...
4 bytes from 00:06:66:4D:F0:2F id 0 time 36.93ms
4 bytes from 00:06:66:4D:F0:2F id 1 time 27.86ms
4 bytes from 00:06:66:4D:F0:2F id 2 time 28.88ms
4 bytes from 00:06:66:4D:F0:2F id 3 time 27.87ms
4 bytes from 00:06:66:4D:F0:2F id 4 time 15.88ms
4 bytes from 00:06:66:4D:F0:2F id 5 time 31.87ms
4 bytes from 00:06:66:4D:F0:2F id 6 time 43.88ms
4 bytes from 00:06:66:4D:F0:2F id 7 time 30.87ms
4 bytes from 00:06:66:4D:F0:2F id 8 time 32.88ms
4 bytes from 00:06:66:4D:F0:2F id 9 time 25.88ms
4 bytes from 00:06:66:4D:F0:2F id 10 time 53.87ms
4 bytes from 00:06:66:4D:F0:2F id 11 time 10.88ms
4 bytes from 00:06:66:4D:F0:2F id 12 time 22.88ms
4 bytes from 00:06:66:4D:F0:2F id 13 time 7.87ms
4 bytes from 00:06:66:4D:F0:2F id 14 time 27.88ms
4 bytes from 00:06:66:4D:F0:2F id 15 time 23.88ms
4 bytes from 00:06:66:4D:F0:2F id 16 time 17.88ms
4 bytes from 00:06:66:4D:F0:2F id 17 time 9.88ms
4 bytes from 00:06:66:4D:F0:2F id 18 time 24.87ms
4 bytes from 00:06:66:4D:F0:2F id 19 time 29.88ms
4 bytes from 00:06:66:4D:F0:2F id 20 time 36.89ms
4 bytes from 00:06:66:4D:F0:2F id 21 time 15.88ms
4 bytes from 00:06:66:4D:F0:2F id 22 time 32.88ms
4 bytes from 00:06:66:4D:F0:2F id 23 time 30.88ms
4 bytes from 00:06:66:4D:F0:2F id 24 time 27.90ms
4 bytes from 00:06:66:4D:F0:2F id 25 time 34.88ms
4 bytes from 00:06:66:4D:F0:2F id 26 time 29.89ms
4 bytes from 00:06:66:4D:F0:2F id 27 time 9.89ms
4 bytes from 00:06:66:4D:F0:2F id 28 time 28.91ms
4 bytes from 00:06:66:4D:F0:2F id 29 time 26.88ms
4 bytes from 00:06:66:4D:F0:2F id 30 time 13.88ms
4 bytes from 00:06:66:4D:F0:2F id 31 time 34.89ms
32 sent, 32 received, 0% loss
