# timestamp	V	A	W	V	A
1598438531.02829	1588.143	0.152	80.582	324.101	0.131
1598438531.04444	229.355	0.022	1.698	324.021	0.126
1598438531.05077	229.369	0.022	1.677	324.101	0.130
1598438531.09069	229.382	0.022	1.710	324.021	0.128
1598438531.10698	229.407	0.022	1.684	324.101	0.126
1598438531.11327	229.395	0.022	1.702	324.262	0.127
1598438531.14569	229.359	0.021	1.656	324.101	0.123
1598438531.15702	229.384	0.022	1.712	324.101	0.128
1598438531.16701	229.278	0.021	1.646	324.021	0.121
1598438531.20569	229.302	0.022	1.662	324.101	0.124
1598438531.21949	229.278	0.022	1.676	324.101	0.131
1598438531.23819	229.236	0.022	1.664	324.021	0.127
1598438531.25452	229.313	0.022	1.685	323.860	0.124
1598438531.27077	229.286	0.022	1.739	324.021	0.123
1598438531.29694	229.308	0.022	1.671	323.940	0.127
1598438531.31452	229.276	0.022	1.688	324.021	0.121
1598438531.33077	229.223	0.022	1.662	323.940	0.127
1598438531.35692	229.221	0.021	1.629	323.860	0.115
1598438531.36827	229.201	0.022	1.668	323.860	0.128
1598438531.40194	229.243	0.022	1.718	323.940	0.124
1598438531.41844	229.234	0.021	1.669	324.021	0.126
1598438531.42827	229.242	0.022	1.684	323.779	0.123
1598438531.46195	229.271	0.022	1.694	323.860	0.121
1598438531.46826	229.265	0.022	1.673	324.182	0.123
1598438531.48827	229.304	0.022	1.678	323.860	0.129
1598438531.52195	229.246	0.022	1.671	323.940	0.127
1598438531.53819	229.242	0.022	1.692	324.021	0.126
1598438531.56071	229.253	0.022	1.681	323.940	0.130
1598438531.58844	229.275	0.022	1.667	324.101	0.127
1598438531.59450	229.300	0.022	1.697	324.101	0.129
1598438531.61695	229.280	0.021	1.632	324.101	0.126
1598438531.63077	229.282	0.022	1.677	324.021	0.126
1598438531.64954	229.285	0.022	1.714	323.940	0.122
1598438531.67692	229.268	0.021	1.636	323.940	0.123
1598438531.70943	229.248	0.022	1.693	324.021	0.124
1598438531.72824	229.202	0.022	1.660	323.860	0.123
1598438531.75826	229.271	0.022	1.720	323.779	0.124
1598438531.77075	229.292	0.022	1.712	323.779	0.123
1598438531.79097	229.305	0.022	1.686	323.860	0.127
1598438531.81595	229.271	0.022	1.643	323.940	0.123
1598438531.83693	229.264	0.022	1.702	323.940	0.123
1598438531.86318	229.346	0.022	1.718	324.021	0.130
1598438531.89321	229.350	0.022	1.682	324.021	0.123
1598438531.90970	229.366	0.022	1.708	324.021	0.124
1598438531.91074	229.338	0.022	1.682	324.182	0.129
1598438531.94693	229.309	0.022	1.669	324.101	0.123
1598438531.95575	229.359	0.022	1.727	324.182	0.129
1598438531.96826	229.346	0.022	1.682	324.262	0.128
1598438532.00568	229.348	0.022	1.671	324.182	0.126
1598438532.01200	229.314	0.022	1.655	324.101	0.121
1598438532.03947	229.316	0.022	1.668	324.101	0.123
1598438532.05576	229.333	0.022	1.697	324.182	0.126
1598438532.06952	229.397	0.022	1.649	324.182	0.124
1598438532.09693	229.392	0.022	1.705	324.101	0.119
1598438532.11075	229.363	0.021	1.597	324.262	0.122
1598438532.13076	229.325	0.022	1.683	324.101	0.123
1598438532.15693	229.321	0.021	1.657	324.101	0.120
1598438532.18568	229.358	0.022	1.688	324.101	0.122
1598438532.20321	229.420	0.022	1.760	324.182	0.126
1598438532.21075	229.393	0.021	1.637	324.343	0.123
1598438532.23576	229.345	0.022	1.703	324.182	0.127
1598438532.26069	229.355	0.022	1.676	324.182	0.126
1598438532.26827	229.343	0.022	1.655	324.262	0.121
1598438532.29451	229.384	0.022	1.725	324.262	0.126
1598438532.32069	229.374	0.022	1.639	324.182	0.124
1598438532.32846	229.348	0.022	1.658	324.101	0.124
1598438532.36573	229.402	0.022	1.675	324.343	0.126
1598438532.37846	229.419	0.022	1.734	324.262	0.131
1598438532.38826	229.422	0.022	1.677	324.262	0.121
1598438532.42820	229.406	0.022	1.701	324.343	0.124
1598438532.43951	229.386	0.022	1.640	324.343	0.128
1598438532.44954	229.410	0.022	1.717	324.423	0.122
1598438532.47944	229.411	0.022	1.624	324.423	0.123
1598438532.49576	229.432	0.022	1.692	324.504	0.129
1598438532.51697	229.416	0.022	1.657	324.343	0.128
1598438532.52846	229.410	0.021	1.631	324.343	0.121
1598438532.55451	229.453	0.022	1.713	324.343	0.131
1598438532.57823	229.462	0.021	1.617	324.262	0.122
1598438532.58954	229.453	0.022	1.696	324.343	0.127
1598438532.61597	229.415	0.022	1.683	324.262	0.124
1598438532.63819	229.388	0.021	1.633	324.101	0.121
1598438532.64827	229.414	0.022	1.693	324.101	0.130
1598438532.68073	229.405	0.022	1.678	324.182	0.120
1598438532.68827	229.422	0.022	1.685	324.262	0.122
1598438532.70828	229.407	0.022	1.672	324.262	0.121
1598438532.74945	229.390	0.022	1.652	324.182	0.127
1598438532.75577	229.455	0.022	1.714	324.262	0.122
1598438532.76954	229.479	0.022	1.705	324.343	0.126
1598438532.80694	229.465	0.022	1.691	324.423	0.124
1598438532.82346	229.431	0.022	1.660	324.343	0.127
1598438532.84698	229.459	0.022	1.722	324.262	0.124
1598438532.86077	229.446	0.022	1.713	324.343	0.122
1598438532.87077	229.442	0.021	1.651	324.504	0.120
1598438532.89945	229.404	0.022	1.678	324.262	0.124
1598438532.91702	229.403	0.022	1.688	324.262	0.123
1598438532.92954	229.382	0.021	1.644	324.262	0.118
1598438532.95694	229.397	0.022	1.699	324.423	0.124
1598438532.98444	229.411	0.022	1.700	324.343	0.126
1598438533.00446	229.421	0.022	1.655	324.262	0.121
1598438533.01845	229.412	0.022	1.666	324.262	0.122
1598438533.03577	229.371	0.022	1.692	324.343	0.127
1598438533.06195	229.385	0.022	1.720	324.343	0.124
1598438533.06954	229.413	0.022	1.678	324.262	0.122
1598438533.09723	229.415	0.022	1.683	324.262	0.130
1598438533.12194	229.413	0.021	1.640	324.182	0.120
1598438533.13077	229.394	0.022	1.663	324.182	0.122
1598438533.16445	229.409	0.022	1.635	324.262	0.126
1598438533.17702	229.345	0.022	1.675	324.101	0.120
1598438533.18827	229.311	0.021	1.619	324.101	0.119
1598438533.22443	229.350	0.022	1.744	324.182	0.124
1598438533.23702	229.319	0.021	1.664	324.262	0.119
1598438533.24827	229.333	0.021	1.648	324.262	0.122
1598438533.28194	229.336	0.022	1.675	324.182	0.126
1598438533.30595	229.346	0.022	1.680	324.262	0.128
1598438533.31327	229.351	0.022	1.677	324.182	0.123
1598438533.32701	229.314	0.022	1.692	324.343	0.128
1598438533.35452	229.384	0.022	1.669	324.343	0.129
1598438533.37696	229.384	0.022	1.675	324.262	0.128
1598438533.38827	229.384	0.022	1.668	324.343	0.128
1598438533.41452	229.396	0.022	1.664	324.423	0.124
1598438533.42703	229.348	0.022	1.644	324.504	0.127
1598438533.44827	229.334	0.021	1.644	324.262	0.121
1598438533.48071	229.364	0.022	1.655	324.343	0.123
1598438533.48828	229.372	0.021	1.655	324.182	0.123
1598438533.50826	229.355	0.022	1.681	324.262	0.124
1598438533.54196	229.303	0.022	1.666	324.343	0.118
1598438533.54955	229.334	0.021	1.636	324.262	0.123
1598438533.56954	229.334	0.022	1.702	324.182	0.122
1598438533.59451	229.341	0.022	1.665	324.101	0.122
1598438533.60826	229.325	0.022	1.675	324.182	0.118
1598438533.64447	229.286	0.022	1.674	324.182	0.122
1598438533.66076	229.361	0.022	1.692	324.262	0.126
1598438533.66954	229.333	0.021	1.672	324.182	0.122
1598438533.70444	229.350	0.022	1.731	324.182	0.124
1598438533.71700	229.353	0.022	1.698	324.262	0.124
1598438533.72953	229.337	0.022	1.678	324.182	0.126
1598438533.74826	229.317	0.022	1.674	324.262	0.130
1598438533.77700	229.344	0.022	1.666	324.262	0.129
1598438533.79821	229.358	0.021	1.690	324.262	0.127
1598438533.80952	229.341	0.022	1.679	324.182	0.122
1598438533.83576	229.351	0.022	1.652	324.343	0.129
1598438533.85820	229.362	0.022	1.678	324.262	0.129
1598438533.86826	229.361	0.022	1.665	324.182	0.123
1598438533.89451	229.416	0.022	1.728	324.423	0.126
1598438533.90701	229.422	0.022	1.689	324.343	0.127
1598438533.92826	229.370	0.022	1.705	324.423	0.128
1598438533.96322	229.429	0.022	1.663	324.182	0.120
1598438533.96953	229.452	0.022	1.703	324.423	0.120
1598438533.98952	229.399	0.022	1.690	324.262	0.123
1598438534.02320	229.423	0.022	1.679	324.262	0.126
1598438534.02953	229.384	0.022	1.688	324.182	0.124
1598438534.04952	229.385	0.022	1.682	324.262	0.122
1598438534.07326	229.375	0.022	1.678	324.182	0.124
1598438534.08826	229.382	0.022	1.706	324.182	0.122
1598438534.12447	229.369	0.026	2.013	324.182	0.142
1598438534.14076	229.356	0.026	2.044	324.182	0.143
1598438534.14952	229.418	0.026	2.125	324.182	0.143
1598438534.16702	229.404	0.025	1.998	324.182	0.144
1598438534.19326	229.407	0.025	1.999	324.343	0.143
1598438534.20827	229.441	0.031	2.524	324.343	0.169
1598438534.22701	229.359	0.028	2.276	324.423	0.156
1598438534.25577	229.388	0.029	2.316	324.262	0.157
1598438534.27699	229.419	0.031	2.605	324.182	0.166
1598438534.28827	229.415	0.034	2.865	324.182	0.177
1598438534.31327	229.438	0.034	2.838	324.343	0.175
1598438534.32702	229.404	0.034	2.854	324.343	0.177
1598438534.34702	229.450	0.035	3.029	324.423	0.185
1598438534.37327	229.445	0.034	2.851	324.504	0.180
1598438534.38702	229.456	0.030	2.455	324.423	0.166
1598438534.40827	229.412	0.028	2.238	324.343	0.147
1598438534.44198	229.375	0.027	2.199	324.343	0.154
1598438534.44827	229.476	0.028	2.267	324.343	0.157
1598438534.46827	229.514	0.027	2.149	324.584	0.146
1598438534.49452	229.527	0.026	2.109	324.423	0.144
1598438534.50702	229.524	0.027	2.141	324.343	0.145
1598438534.52827	229.488	0.033	2.782	324.504	0.177
1598438534.55327	229.493	0.031	2.497	324.423	0.164
1598438534.56828	229.498	0.030	2.484	324.665	0.165
1598438534.60446	229.508	0.029	2.332	324.423	0.158
1598438534.61702	229.472	0.030	2.428	324.343	0.161
1598438534.62827	229.487	0.028	2.207	324.343	0.155
1598438534.65945	229.531	0.026	2.115	324.423	0.145
1598438534.67703	229.534	0.024	1.851	324.504	0.140
1598438534.68828	229.481	0.025	1.986	324.584	0.139
1598438534.70703	229.537	0.027	2.169	324.423	0.152
1598438534.73453	229.463	0.026	2.060	324.423	0.139
1598438534.75698	229.506	0.028	2.237	324.504	0.150
1598438534.76956	229.548	0.031	2.575	324.665	0.167
1598438534.79578	229.545	0.029	2.402	324.584	0.163
1598438534.81821	229.557	0.026	2.089	324.423	0.140
1598438534.82828	229.513	0.027	2.179	324.423	0.144
1598438534.85452	229.495	0.026	2.100	324.262	0.144
1598438534.86828	229.466	0.024	1.906	324.262	0.133
1598438534.88828	229.478	0.027	2.218	324.182	0.146
1598438534.92321	229.463	0.031	2.537	324.182	0.167
1598438534.92955	229.430	0.028	2.333	324.262	0.153
1598438534.94954	229.490	0.026	2.054	324.262	0.146
1598438534.98446	229.503	0.024	1.905	324.343	0.130
1598438534.99078	229.499	0.025	2.002	324.343	0.136
1598438535.00828	229.502	0.025	1.998	324.504	0.150
1598438535.03453	229.477	0.024	1.910	324.504	0.136
1598438535.04829	229.500	0.027	2.096	324.504	0.152
1598438535.07947	229.524	0.022	1.727	324.584	0.131
1598438535.09578	229.470	0.024	1.878	324.504	0.135
1598438535.10826	229.482	0.025	2.031	324.504	0.144
1598438535.12703	229.453	0.026	2.050	324.423	0.140
1598438535.15453	229.458	0.027	2.161	324.423	0.153
1598438535.16826	229.469	0.022	1.723	324.423	0.128
1598438535.18703	229.478	0.022	1.701	324.584	0.127
1598438535.21451	229.485	0.023	1.823	324.343	0.131
1598438535.22703	229.415	0.025	1.960	324.343	0.141
1598438535.24701	229.427	0.022	1.669	324.343	0.122
1598438535.27451	229.465	0.023	1.747	324.423	0.129
1598438535.28703	229.467	0.022	1.736	324.423	0.130
1598438535.30703	229.494	0.022	1.691	324.423	0.127
1598438535.33451	229.455	0.022	1.687	324.343	0.128
1598438535.34826	229.460	0.022	1.685	324.262	0.123
1598438535.36826	229.476	0.025	2.025	324.343	0.140
1598438535.39826	229.461	0.025	2.002	324.343	0.138
1598438535.40828	229.460	0.024	1.906	324.182	0.135
1598438535.42826	229.457	0.024	1.928	324.262	0.135
1598438535.45452	229.454	0.025	1.949	324.182	0.138
1598438535.46703	229.464	0.025	1.950	324.343	0.138
1598438535.48829	229.517	0.024	1.885	324.423	0.140
1598438535.51452	229.505	0.024	1.876	324.504	0.140
1598438535.52826	229.464	0.022	1.697	324.504	0.127
1598438535.54826	229.465	0.022	1.728	324.343	0.130
1598438535.57451	229.509	0.022	1.742	324.504	0.127
1598438535.58827	229.499	0.025	2.011	324.504	0.136
1598438535.60701	229.497	0.025	1.948	324.504	0.140
1598438535.63327	229.444	0.025	1.968	324.423	0.138
1598438535.64826	229.471	0.016	1.143	324.504	0.111
1598438535.66701	229.510	0.010	0.657	324.504	0.059
1598438535.69452	229.488	0.010	0.661	324.584	0.068
1598438535.70701	229.495	0.010	0.665	324.584	0.058
1598438535.72703	229.458	0.008	0.534	324.665	0.052
1598438535.75452	229.487	0.009	0.539	324.504	0.054
1598438535.76702	229.464	0.009	0.648	324.504	0.058
1598438535.78702	229.469	0.011	0.749	324.423	0.066
1598438535.81327	229.487	0.011	0.733	324.423	0.066
1598438535.82701	229.414	0.011	0.737	324.343	0.068
1598438535.84828	229.482	0.011	0.802	324.343	0.072
1598438535.87325	229.467	0.012	0.795	324.423	0.078
1598438535.88699	229.507	0.010	0.693	324.343	0.062
1598438535.90827	229.511	0.009	0.620	324.343	0.060
1598438535.93453	229.393	0.009	0.597	324.262	0.059
1598438535.94702	229.388	0.009	0.605	324.423	0.058
1598438535.96827	229.442	0.010	0.644	324.343	0.069
1598438535.99327	229.460	0.010	0.686	324.423	0.060
1598438536.00827	229.439	0.011	0.706	324.423	0.067
1598438536.02702	229.391	0.011	0.736	324.423	0.071
1598438536.05328	229.442	0.011	0.749	324.343	0.067
1598438536.06827	229.471	0.011	0.746	324.665	0.071
1598438536.08702	229.465	0.011	0.734	324.423	0.064
1598438536.11328	229.484	0.009	0.631	324.504	0.059
1598438536.12828	229.418	0.010	0.628	324.584	0.064
1598438536.14702	229.431	0.011	0.733	324.504	0.063
1598438536.17453	229.390	0.011	0.763	324.504	0.071
1598438536.18702	229.380	0.011	0.758	324.423	0.067
1598438536.20702	229.396	0.012	0.873	324.504	0.074
1598438536.23454	229.340	0.012	0.808	324.504	0.073
1598438536.25202	229.386	0.012	0.833	324.262	0.073
1598438536.26702	229.385	0.012	0.850	324.343	0.079
1598438536.29328	229.407	0.012	0.851	324.423	0.076
1598438536.30702	229.386	0.012	0.833	324.262	0.072
1598438536.32827	229.319	0.012	0.873	324.343	0.079
1598438536.35328	229.377	0.012	0.867	324.423	0.074
1598438536.36954	229.382	0.012	0.841	324.423	0.074
1598438536.38955	229.383	0.012	0.883	324.343	0.078
1598438536.41328	229.406	0.012	0.861	324.262	0.072
1598438536.42703	229.354	0.012	0.816	324.423	0.076
1598438536.44829	229.362	0.012	0.854	324.343	0.074
1598438536.47454	229.381	0.012	0.832	324.343	0.075
1598438536.48829	229.369	0.012	0.855	324.423	0.073
1598438536.51947	229.383	0.013	0.905	324.584	0.075
1598438536.54723	229.346	0.012	0.892	324.423	0.073
1598438536.55328	229.371	0.013	0.900	324.343	0.078
1598438536.56703	229.345	0.013	0.910	324.343	0.074
1598438536.59455	229.392	0.013	0.901	324.423	0.076
1598438536.60829	229.376	0.012	0.878	324.262	0.071
1598438536.62703	229.361	0.013	0.938	324.262	0.082
1598438536.65454	229.375	0.012	0.811	324.262	0.071
1598438536.67825	229.394	0.011	0.690	324.343	0.068
1598438536.68955	229.346	0.010	0.711	324.343	0.066
1598438536.71454	229.388	0.011	0.719	324.343	0.067
1598438536.72704	229.398	0.010	0.711	324.343	0.067
1598438536.74703	229.399	0.010	0.689	324.343	0.063
1598438536.77329	229.438	0.011	0.748	324.423	0.064
1598438536.78703	229.444	0.011	0.741	324.423	0.069
1598438536.80828	229.442	0.010	0.677	324.504	0.060
1598438536.83454	229.385	0.010	0.676	324.343	0.067
1598438536.84703	229.396	0.010	0.696	324.423	0.066
1598438536.86828	229.360	0.010	0.696	324.423	0.069
1598438536.89454	229.383	0.010	0.684	324.343	0.063
1598438536.90703	229.365	0.010	0.703	324.423	0.067
1598438536.92826	229.338	0.011	0.714	324.262	0.067
1598438536.96074	229.363	0.010	0.676	324.262	0.063
1598438536.96827	229.385	0.010	0.692	324.423	0.070
1598438537.00073	229.356	0.010	0.708	324.262	0.072
1598438537.02824	229.350	0.010	0.689	324.343	0.068
1598438537.03452	229.291	0.010	0.685	324.262	0.070
1598438537.06201	229.330	0.010	0.680	324.423	0.064
1598438537.07829	229.297	0.010	0.711	324.343	0.068
1598438537.08956	229.336	0.010	0.716	324.343	0.071
1598438537.12101	229.345	0.010	0.703	324.262	0.063
1598438537.13704	229.344	0.011	0.713	324.423	0.070
1598438537.15971	229.203	0.010	0.677	324.262	0.067
1598438537.17971	229.233	0.010	0.719	324.182	0.061
1598438537.19704	229.320	0.011	0.729	324.343	0.069
1598438537.22221	229.354	0.011	0.725	324.262	0.071
1598438537.22827	229.340	0.010	0.723	324.262	0.064
1598438537.25829	229.330	0.011	0.713	324.343	0.062
1598438537.26827	229.382	0.011	0.712	324.343	0.062
1598438537.28827	229.398	0.011	0.684	324.343	0.064
1598438537.32722	229.422	0.010	0.718	324.504	0.063
1598438537.34221	229.385	0.010	0.696	324.423	0.062
1598438537.34827	229.413	0.010	0.695	324.343	0.064
1598438537.38972	229.468	0.011	0.769	324.504	0.068
1598438537.39578	229.460	0.010	0.710	324.504	0.069
1598438537.40953	229.448	0.010	0.706	324.584	0.063
1598438537.44722	229.418	0.010	0.719	324.504	0.069
1598438537.45453	229.409	0.010	0.660	324.504	0.058
1598438537.48348	229.401	0.011	0.711	324.504	0.067
1598438537.50205	229.419	0.010	0.713	324.423	0.068
1598438537.51077	229.422	0.011	0.732	324.423	0.070
1598438537.53820	229.394	0.010	0.701	324.504	0.066
1598438537.55577	229.379	0.010	0.680	324.423	0.062
1598438537.57077	229.393	0.011	0.719	324.343	0.071
1598438537.59722	229.427	0.010	0.669	324.343	0.064
1598438537.61077	229.382	0.010	0.678	324.343	0.068
1598438537.63820	229.328	0.011	0.715	324.262	0.070
1598438537.65950	229.283	0.010	0.683	324.182	0.063
1598438537.67578	229.290	0.010	0.686	324.182	0.064
1598438537.70202	229.301	0.010	0.694	324.101	0.067
1598438537.70954	229.313	0.011	0.697	324.182	0.070
1598438537.72954	229.291	0.010	0.697	324.262	0.071
1598438537.76320	229.297	0.011	0.740	324.182	0.071
1598438537.76954	229.296	0.010	0.696	324.182	0.064
1598438537.80074	229.293	0.010	0.710	324.262	0.066
1598438537.82976	229.297	0.011	0.775	324.182	0.071
1598438537.86446	229.283	0.010	0.696	324.101	0.063
1598438537.88078	229.323	0.011	0.713	324.182	0.068
1598438537.89205	229.291	0.010	0.694	324.343	0.068
1598438537.91821	229.290	0.010	0.682	324.262	0.066
1598438537.93078	229.265	0.011	0.703	324.343	0.069
1598438537.96945	229.234	0.010	0.678	324.182	0.060
1598438537.97453	229.273	0.011	0.730	324.262	0.068
1598438537.99705	229.287	0.011	0.739	324.262	0.062
1598438538.02571	229.293	0.010	0.715	324.262	0.069
1598438538.03329	229.290	0.011	0.712	324.343	0.062
1598438538.04828	229.294	0.010	0.722	324.423	0.064
1598438538.08203	229.272	0.010	0.664	324.262	0.059
1598438538.08954	229.280	0.010	0.728	324.262	0.066
1598438538.12324	229.283	0.011	0.699	324.262	0.063
1598438538.14826	229.239	0.010	0.691	324.343	0.063
1598438538.15578	229.236	0.011	0.750	324.343	0.066
1598438538.18572	229.179	0.010	0.633	324.182	0.063
1598438538.19828	229.198	0.011	0.702	324.182	0.063
1598438538.20955	229.195	0.011	0.748	324.262	0.064
1598438538.22706	229.167	0.011	0.712	324.262	0.064
1598438538.25953	229.145	0.010	0.684	324.262	0.063
1598438538.27822	229.181	0.011	0.756	324.262	0.066
1598438538.28829	229.200	0.011	0.719	324.343	0.066
1598438538.31579	229.208	0.010	0.700	324.262	0.069
1598438538.33823	229.207	0.010	0.692	324.423	0.066
1598438538.34829	229.220	0.011	0.694	324.262	0.066
1598438538.37454	229.195	0.010	0.691	324.262	0.068
1598438538.39823	229.170	0.010	0.681	324.262	0.060
1598438538.40830	229.177	0.011	0.702	324.182	0.069
1598438538.44703	229.147	0.010	0.668	324.101	0.066
1598438538.46074	229.141	0.010	0.682	324.021	0.060
1598438538.46829	229.166	0.010	0.699	324.101	0.070
1598438538.50576	229.159	0.011	0.715	324.101	0.069
1598438538.51206	229.202	0.011	0.712	324.101	0.070
1598438538.52829	229.188	0.010	0.684	324.021	0.066
1598438538.56324	229.201	0.011	0.730	324.101	0.069
1598438538.57079	229.206	0.010	0.712	324.182	0.069
1598438538.60347	229.224	0.011	0.738	324.182	0.069
1598438538.62847	229.187	0.010	0.680	324.182	0.069
1598438538.63454	229.172	0.010	0.662	324.182	0.063
1598438538.66449	229.203	0.011	0.744	324.182	0.067
1598438538.67706	229.205	0.010	0.705	324.182	0.069
1598438538.68954	229.205	0.011	0.715	324.101	0.068
1598438538.72604	229.205	0.011	0.719	324.182	0.063
1598438538.73827	229.214	0.010	0.679	324.182	0.067
1598438538.75207	229.178	0.010	0.699	324.182	0.070
1598438538.78346	229.192	0.010	0.723	324.343	0.060
1598438538.80822	229.198	0.010	0.704	324.423	0.064
1598438538.82820	229.213	0.011	0.726	324.262	0.066
1598438538.83329	229.225	0.010	0.676	324.423	0.066
1598438538.85827	229.186	0.010	0.715	324.262	0.061
1598438538.87972	229.154	0.010	0.699	324.182	0.062
1598438538.88954	229.179	0.011	0.718	324.021	0.070
1598438538.92821	229.178	0.010	0.747	324.101	0.066
1598438538.94072	229.168	0.010	0.685	324.262	0.067
1598438538.95080	229.174	0.010	0.706	324.021	0.062
1598438538.98696	229.197	0.011	0.735	324.182	0.069
1598438538.99455	229.183	0.010	0.694	324.182	0.060
1598438539.00955	229.214	0.011	0.700	324.182	0.067
1598438539.04695	229.174	0.010	0.678	324.182	0.070
1598438539.05972	229.139	0.010	0.670	324.101	0.061
1598438539.08449	229.183	0.011	0.723	324.182	0.067
1598438539.10971	229.167	0.010	0.724	324.182	0.070
1598438539.11825	229.165	0.010	0.700	324.182	0.066
1598438539.13821	229.174	0.011	0.718	324.343	0.070
1598438539.15208	229.164	0.010	0.704	324.101	0.067
1598438539.17078	229.195	0.010	0.700	324.182	0.066
1598438539.19822	229.149	0.010	0.702	324.182	0.067
1598438539.23071	229.144	0.010	0.709	324.182	0.066
1598438539.24946	229.115	0.010	0.658	324.101	0.064
1598438539.26222	229.065	0.011	0.733	324.262	0.067
1598438539.27708	229.043	0.010	0.691	324.021	0.067
1598438539.30197	229.137	0.011	0.711	324.182	0.074
1598438539.30954	229.152	0.011	0.747	324.101	0.076
1598438539.33329	229.086	0.010	0.716	324.101	0.067
1598438539.36317	229.100	0.011	0.740	324.021	0.069
1598438539.37973	229.159	0.010	0.734	324.101	0.063
1598438539.40207	229.129	0.010	0.690	324.182	0.069
1598438539.42954	229.155	0.010	0.680	324.021	0.061
1598438539.43579	229.167	0.011	0.726	324.021	0.068
1598438539.46568	229.144	0.010	0.678	324.182	0.064
1598438539.47828	229.179	0.010	0.681	323.940	0.063
1598438539.48954	229.174	0.010	0.694	324.101	0.066
1598438539.52571	229.177	0.010	0.725	324.101	0.063
1598438539.55078	229.186	0.011	0.725	323.940	0.068
1598438539.58723	229.293	0.011	0.780	324.101	0.067
1598438539.60078	229.301	0.011	0.716	324.182	0.069
1598438539.62197	229.303	0.010	0.698	324.343	0.063
1598438539.63078	229.274	0.010	0.724	324.262	0.066
1598438539.65829	229.244	0.010	0.652	324.343	0.061
1598438539.67822	229.258	0.010	0.709	324.182	0.066
1598438539.68829	229.264	0.010	0.680	324.262	0.069
1598438539.72822	229.281	0.011	0.761	324.343	0.069
1598438539.74349	229.244	0.010	0.708	324.182	0.062
1598438539.75079	229.238	0.011	0.715	324.182	0.068
1598438539.78697	229.280	0.010	0.691	324.182	0.059
1598438539.79329	229.283	0.011	0.715	324.262	0.063
1598438539.80955	229.287	0.010	0.690	324.343	0.066
1598438539.84697	229.235	0.010	0.691	324.182	0.060
1598438539.86071	229.270	0.010	0.693	324.262	0.064
1598438539.88572	229.275	0.011	0.714	324.101	0.068
1598438539.89829	229.280	0.011	0.709	324.262	0.064
1598438539.91208	229.265	0.010	0.693	324.182	0.067
1598438539.94322	229.249	0.010	0.695	324.262	0.062
1598438539.95954	229.253	0.011	0.725	324.021	0.070
1598438539.97209	229.294	0.011	0.705	324.182	0.068
1598438539.99822	229.317	0.010	0.736	324.262	0.063
1598438540.01454	229.324	0.010	0.700	324.262	0.067
1598438540.03947	229.293	0.011	0.729	324.343	0.068
1598438540.04956	229.235	0.010	0.671	324.343	0.068
1598438540.07579	229.244	0.011	0.705	324.182	0.066
1598438540.10072	229.334	0.011	0.713	324.423	0.069
1598438540.10955	229.340	0.011	0.724	324.584	0.066
1598438540.13709	229.338	0.010	0.696	324.343	0.071
1598438540.16197	229.311	0.010	0.691	324.504	0.064
1598438540.17972	229.340	0.010	0.725	324.423	0.064
1598438540.20824	229.332	0.010	0.679	324.423	0.063
1598438540.22080	229.345	0.011	0.720	324.343	0.067
1598438540.22827	229.329	0.010	0.699	324.423	0.068
1598438540.26822	229.294	0.010	0.670	324.343	0.061
1598438540.28079	229.309	0.011	0.719	324.262	0.072
1598438540.29080	229.359	0.010	0.684	324.262	0.066
1598438540.32070	229.369	0.010	0.676	324.343	0.066
1598438540.34823	229.365	0.011	0.697	324.343	0.071
1598438540.38597	229.339	0.011	0.729	324.262	0.066
1598438540.39955	229.351	0.010	0.719	324.182	0.064
1598438540.42074	229.332	0.011	0.718	324.262	0.070
1598438540.42955	229.351	0.011	0.729	324.262	0.066
1598438540.45828	229.337	0.011	0.720	324.423	0.066
1598438540.47945	229.361	0.010	0.710	324.423	0.062
1598438540.48955	229.370	0.011	0.747	324.262	0.068
1598438540.52696	229.381	0.010	0.695	324.182	0.061
1598438540.54207	229.310	0.010	0.661	324.423	0.064
1598438540.54957	229.288	0.010	0.688	324.262	0.059
1598438540.58573	229.346	0.011	0.722	324.423	0.069
1598438540.59212	229.350	0.010	0.704	324.262	0.060
1598438540.60956	229.361	0.010	0.687	324.423	0.069
1598438540.63453	229.353	0.010	0.691	324.262	0.066
1598438540.64955	229.310	0.010	0.666	324.343	0.063
1598438540.68575	229.342	0.011	0.711	324.182	0.063
1598438540.69828	229.331	0.011	0.732	324.423	0.066
1598438540.70955	229.292	0.010	0.669	324.262	0.062
1598438540.74570	229.318	0.010	0.694	324.101	0.064
1598438540.76208	229.322	0.011	0.749	324.343	0.066
1598438540.77079	229.337	0.010	0.706	324.262	0.061
1598438540.78829	229.320	0.011	0.754	324.262	0.073
1598438540.81711	229.310	0.010	0.652	324.182	0.063
1598438540.84325	229.290	0.010	0.706	324.262	0.063
1598438540.85211	229.236	0.010	0.652	324.343	0.073
1598438540.87454	229.241	0.011	0.704	324.182	0.064
1598438540.90196	229.250	0.010	0.689	324.343	0.068
1598438540.90956	229.236	0.011	0.689	324.262	0.066
1598438540.92955	229.257	0.011	0.729	324.343	0.067
1598438540.95711	229.215	0.010	0.672	324.343	0.063
1598438540.96955	229.235	0.010	0.745	324.101	0.066
1598438541.00575	229.275	0.011	0.719	324.182	0.067
1598438541.01829	229.282	0.010	0.693	324.262	0.066
1598438541.02955	229.288	0.010	0.692	324.262	0.067
1598438541.06072	229.266	0.011	0.723	324.262	0.066
